ds,yhat,yhat_lower,yhat_upper,consumer_id
2022-02-20,64070.30426558423,-10872.221182088791,142515.14070423442,-9217897175181194576
2022-02-21,56172.69146258816,-22758.22652787975,129746.24509783152,-9217897175181194576
2022-02-22,59715.73763365327,-18340.104532890105,138636.69718378648,-9217897175181194576
2022-02-23,59070.956925596125,-19058.6327071203,138556.1137493563,-9217897175181194576
2022-02-24,37304.254276752,-39819.02172999041,115091.87728026205,-9217897175181194576
2022-02-25,54463.97735878936,-25010.31937515345,129994.72617648944,-9217897175181194576
2022-02-26,61233.31469736193,-13039.073751171944,136907.1569653335,-9217897175181194576
2022-02-27,64664.34517957803,-12084.23572674405,139617.06327705208,-9217897175181194576
2022-02-28,58117.571499280995,-25134.79434470127,133714.31083903412,-9217897175181194576
2022-03-01,62066.61383515279,-16258.864009895164,133591.49697486023,-9217897175181194576
2022-03-03,41016.89373890563,-35895.11052323709,119639.89356586641,-9217897175181194576
2022-03-04,56795.04867940848,-22787.65541971171,131230.9503930689,-9217897175181194576
2022-03-05,62434.362927192204,-13659.250717998691,141857.11517873924,-9217897175181194576
2022-03-06,64645.80209166205,-5897.989656110075,140096.68118744416,-9217897175181194576
2022-03-07,57220.04977469764,-16779.684698461817,130638.53921681225,-9217897175181194576
2022-03-08,59539.773941836356,-15620.8495779298,131009.32788703952,-9217897175181194576
2022-03-10,36687.384346348954,-42686.53850585575,111835.78237140155,-9217897175181194576
2022-03-11,50084.913430210036,-30676.235870069868,124935.92574616543,-9217897175181194576
2022-03-13,54962.231779053574,-21126.318073386905,130310.25534896005,-9217897175181194576
2022-03-14,47062.95326986642,-28023.34086992857,125279.63034029008,-9217897175181194576
2022-03-15,48626.352737392386,-28337.888722009448,130616.8756588716,-9217897175181194576
2022-03-17,26979.97315325251,-50533.40832567297,100041.6722970644,-9217897175181194576
2022-03-18,40021.980886401965,-41708.5310795109,117609.45580077698,-9217897175181194576
2022-03-19,44578.614046830284,-31891.57115995874,121414.36182300241,-9217897175181194576
2022-03-20,46641.20249952458,-25971.924717590005,124939.6298254115,-9217897175181194576
2022-03-22,44071.85303313175,-36407.08310884225,124363.51074980815,-9217897175181194576
2022-03-23,44254.00776314494,-33562.97406372044,122139.23935824177,-9217897175181194576
2022-03-24,28139.155985031615,-50549.35193387626,105908.37875195901,-9217897175181194576
2022-03-25,42666.399844156265,-34783.93629778722,115729.00265180442,-9217897175181194576
2022-03-27,53496.675455937584,-19621.052091271,136525.365848563,-9217897175181194576
2022-03-29,55187.96368926326,-16519.929232853512,126827.55999290054,-9217897175181194576
2022-03-30,56998.6765964723,-19663.73218972116,138377.29936978366,-9217897175181194576
2022-04-01,57677.16423790176,-20171.339313683013,135406.49604688783,-9217897175181194576
2022-04-03,68075.58198501513,-7679.190128188486,147028.8678346633,-9217897175181194576
2022-04-04,64432.22732398269,-13976.710317290512,143388.02324254566,-9217897175181194576
2022-04-05,67999.51930508396,-4695.453594008065,148424.05741866145,-9217897175181194576
2022-04-06,68125.71067390626,-6976.843747449653,140202.00064059894,-9217897175181194576
2022-04-07,53455.12679264609,-21632.371821104723,128322.32477937012,-9217897175181194576
